Q1.1, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1518/paper1.pdf, AffiliationEntry
Q2.32, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1001/paper2.pdf, CountryEntry
Q2.33, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1006/paper5.pdf, CountryEntry
Q2.34, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1504/uai2015aci_paper3.pdf, CountryEntry
Q2.35, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1504/uai2015aci_abstract1.pdf, CountryEntry
Q2.36, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1531/paper1.pdf, CountryEntry
Q2.37, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1309/paper2.pdf, CountryEntry
Q2.38, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1309/paper3.pdf, CountryEntry
Q2.39, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1313/paper_8.pdf, CountryEntry
Q2.40, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1315/paper9.pdf, CountryEntry
Q2.41, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1315/paper13.pdf, CountryEntry
Q2.42, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1320/paper_7.pdf, CountryEntry
Q2.43, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1320/paper_12.pdf, CountryEntry
Q2.44, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1320/paper_22.pdf, CountryEntry
Q2.45, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1320/paper_31.pdf, CountryEntry
Q3.1, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1518/paper1.pdf, URLEntry
Q3.2, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1518/paper2.pdf, URLEntry
Q3.3, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1518/paper3.pdf, URLEntry
Q3.4, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1518/paper4.pdf, URLEntry
Q3.5, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1518/paper5.pdf, URLEntry
Q3.6, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1518/paper6.pdf, URLEntry
Q3.7, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1518/paper7.pdf, URLEntry
Q3.8, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1518/paper8.pdf, URLEntry
Q3.9, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1518/paper9.pdf, URLEntry
Q3.10, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1521/paper1.pdf, URLEntry
Q3.11, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1521/paper2.pdf, URLEntry
Q3.12, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1521/paper3.pdf, URLEntry
Q3.13, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1521/paper4.pdf, URLEntry
Q3.14, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1521/paper5.pdf, URLEntry
Q3.15, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1521/paper6.pdf, URLEntry
Q3.16, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1521/paper7.pdf, URLEntry
Q3.17, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1500/paper1.pdf, URLEntry
Q3.18, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1500/paper2.pdf, URLEntry
Q3.19, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1500/paper3.pdf, URLEntry
Q3.20, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1500/paper4.pdf, URLEntry
Q3.21, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1500/paper6.pdf, URLEntry
Q3.22, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1319/morse14_paper_07.pdf, URLEntry
Q3.23, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1317/om2014_Tpaper1.pdf, URLEntry
Q3.24, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1514/paper1.pdf, URLEntry
Q3.25, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1514/paper2.pdf, URLEntry
Q3.26, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1514/paper3.pdf, URLEntry
Q3.27, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1514/paper4.pdf, URLEntry
Q3.28, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1514/paper5.pdf, URLEntry
Q3.29, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1514/paper6.pdf, URLEntry
Q3.30, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1405/paper06.pdf, URLEntry
Q3.31, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1303/paper_3.pdf, URLEntry
Q3.32, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1001/paper2.pdf, URLEntry
Q3.33, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1006/paper5.pdf, URLEntry
Q3.34, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1504/uai2015aci_paper3.pd, URLEntryf
Q3.35, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1504/uai2015aci_abstract1.pdf, URLEntry
Q3.36, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1531/paper1.pdf, URLEntry
Q3.37, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1309/paper2.pdf, URLEntry
Q3.38, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1309/paper3.pdf, URLEntry
Q3.39, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1313/paper_8.pdf, URLEntry
Q3.40, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1315/paper9.pdf, URLEntry
Q3.41, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1315/paper13.pdf, URLEntry
Q3.42, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1320/paper_7.pdf, URLEntry
Q3.43, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1320/paper_12.pdf, URLEntry
Q3.44, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1320/paper_22.pdf, URLEntry
Q3.45, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1320/paper_31.pdf, URLEntry
Q4.1, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1518/paper1.pdf, DocumentComponentEntry
Q4.2, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1518/paper2.pdf, DocumentComponentEntry
Q4.3, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1518/paper3.pdf, DocumentComponentEntry
Q4.4, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1518/paper4.pdf, DocumentComponentEntry
Q4.5, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1518/paper5.pdf, DocumentComponentEntry
Q4.6, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1518/paper6.pdf, DocumentComponentEntry
Q4.7, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1518/paper7.pdf, DocumentComponentEntry
Q4.8, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1518/paper8.pdf, DocumentComponentEntry
Q4.9, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1518/paper9.pdf, DocumentComponentEntry
Q4.10, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1521/paper1.pdf, DocumentComponentEntry
Q4.11, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1521/paper2.pdf, DocumentComponentEntry
Q4.12, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1521/paper3.pdf, DocumentComponentEntry
Q4.13, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1521/paper4.pdf, DocumentComponentEntry
Q4.14, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1521/paper5.pdf, DocumentComponentEntry
Q4.15, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1521/paper6.pdf, DocumentComponentEntry
Q4.16, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1521/paper7.pdf, DocumentComponentEntry
Q4.17, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1500/paper1.pdf, DocumentComponentEntry
Q4.18, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1500/paper2.pdf, DocumentComponentEntry
Q4.19, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1500/paper3.pdf, DocumentComponentEntry
Q4.20, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1500/paper4.pdf, DocumentComponentEntry
Q4.21, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1500/paper6.pdf, DocumentComponentEntry
Q4.22, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1319/morse14_paper_07.pdf, DocumentComponentEntry
Q4.23, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1317/om2014_Tpaper1.pdf, DocumentComponentEntry
Q4.24, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1514/paper1.pdf, DocumentComponentEntry
Q4.25, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1514/paper2.pdf, DocumentComponentEntry
Q4.26, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1514/paper3.pdf, DocumentComponentEntry
Q4.27, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1514/paper4.pdf, DocumentComponentEntry
Q4.28, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1514/paper5.pdf, DocumentComponentEntry
Q4.29, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1514/paper6.pdf, DocumentComponentEntry
Q4.30, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1405/paper06.pdf, DocumentComponentEntry
Q4.31, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1303/paper_3.pdf, DocumentComponentEntry
Q4.32, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1001/paper2.pdf, DocumentComponentEntry
Q4.33, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1006/paper5.pdf, DocumentComponentEntry
Q4.34, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1504/uai2015aci_paper3.pdf, DocumentComponentEntry
Q4.35, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1504/uai2015aci_abstract1.pdf, DocumentComponentEntry
Q4.36, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1531/paper1.pdf, DocumentComponentEntry
Q4.37, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1309/paper2.pdf, DocumentComponentEntry
Q4.38, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1309/paper3.pdf, DocumentComponentEntry
Q4.39, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1313/paper_8.pdf, DocumentComponentEntry
Q4.40, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1315/paper9.pdf, DocumentComponentEntry
Q4.41, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1315/paper13.pdf, DocumentComponentEntry
Q4.42, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1320/paper_7.pdf, DocumentComponentEntry
Q4.43, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1320/paper_12.pdf, DocumentComponentEntry
Q4.44, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1320/paper_22.pdf, DocumentComponentEntry
Q4.45, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1320/paper_31.pdf, DocumentComponentEntry
Q5.1, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1518/paper1.pdf, DocumentComponentEntry
Q5.2, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1518/paper2.pdf, DocumentComponentEntry
Q5.3, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1518/paper3.pdf, DocumentComponentEntry
Q5.4, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1518/paper4.pdf, DocumentComponentEntry
Q5.5, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1518/paper5.pdf, DocumentComponentEntry
Q5.6, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1518/paper6.pdf, DocumentComponentEntry
Q5.7, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1518/paper7.pdf, DocumentComponentEntry
Q5.8, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1518/paper8.pdf, DocumentComponentEntry
Q5.9, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1518/paper9.pdf, DocumentComponentEntry
Q5.10, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1521/paper1.pdf, DocumentComponentEntry
Q5.11, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1521/paper2.pdf, DocumentComponentEntry
Q5.12, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1521/paper3.pdf, DocumentComponentEntry
Q5.13, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1521/paper4.pdf, DocumentComponentEntry
Q5.14, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1521/paper5.pdf, DocumentComponentEntry
Q5.15, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1521/paper6.pdf, DocumentComponentEntry
Q5.16, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1521/paper7.pdf, DocumentComponentEntry
Q5.17, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1500/paper1.pdf, DocumentComponentEntry
Q5.18, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1500/paper2.pdf, DocumentComponentEntry
Q5.19, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1500/paper3.pdf, DocumentComponentEntry
Q5.20, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1500/paper4.pdf, DocumentComponentEntry
Q5.21, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1500/paper6.pdf, DocumentComponentEntry
Q5.22, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1319/morse14_paper_07.pdf, DocumentComponentEntry
Q5.23, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1317/om2014_Tpaper1.pdf, DocumentComponentEntry
Q5.24, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1514/paper1.pdf, DocumentComponentEntry
Q5.25, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1514/paper2.pdf, DocumentComponentEntry
Q5.26, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1514/paper3.pdf, DocumentComponentEntry
Q5.27, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1514/paper4.pdf, DocumentComponentEntry
Q5.28, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1514/paper5.pdf, DocumentComponentEntry
Q5.29, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1514/paper6.pdf, DocumentComponentEntry
Q5.30, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1405/paper06.pdf, DocumentComponentEntry
Q5.31, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1303/paper_3.pdf, DocumentComponentEntry
Q5.32, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1001/paper2.pdf, DocumentComponentEntry
Q5.33, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1006/paper5.pdf, DocumentComponentEntry
Q5.34, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1504/uai2015aci_paper3.pdf, DocumentComponentEntry
Q5.35, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1504/uai2015aci_abstract1.pdf, DocumentComponentEntry
Q5.36, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1531/paper1.pdf, DocumentComponentEntry
Q5.37, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1309/paper2.pdf, DocumentComponentEntry
Q5.38, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1309/paper3.pdf, DocumentComponentEntry
Q5.39, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1313/paper_8.pdf, DocumentComponentEntry
Q5.40, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1315/paper9.pdf, DocumentComponentEntry
Q5.41, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1315/paper13.pdf, DocumentComponentEntry
Q5.42, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1320/paper_7.pdf, DocumentComponentEntry
Q5.43, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1320/paper_12.pdf, DocumentComponentEntry
Q5.44, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1320/paper_22.pdf, DocumentComponentEntry
Q5.45, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1320/paper_31.pdf, DocumentComponentEntry
Q6.1, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1518/paper1.pdf, DocumentComponentEntry
Q6.2, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1518/paper2.pdf, DocumentComponentEntry
Q6.3, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1518/paper3.pdf, DocumentComponentEntry
Q6.4, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1518/paper4.pdf, DocumentComponentEntry
Q6.5, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1518/paper5.pdf, DocumentComponentEntry
Q6.6, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1518/paper6.pdf, DocumentComponentEntry
Q6.7, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1518/paper7.pdf, DocumentComponentEntry
Q6.8, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1518/paper8.pdf, DocumentComponentEntry
Q6.9, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1518/paper9.pdf, DocumentComponentEntry
Q6.10, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1521/paper1.pdf, DocumentComponentEntry
Q6.11, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1521/paper2.pdf, DocumentComponentEntry
Q6.12, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1521/paper3.pdf, DocumentComponentEntry
Q6.13, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1521/paper4.pdf, DocumentComponentEntry
Q6.14, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1521/paper5.pdf, DocumentComponentEntry
Q6.15, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1521/paper6.pdf, DocumentComponentEntry
Q6.16, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1521/paper7.pdf, DocumentComponentEntry
Q6.17, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1500/paper1.pdf, DocumentComponentEntry
Q6.18, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1500/paper2.pdf, DocumentComponentEntry
