Q2.7a, Identify the funding agencies that funded the research presented in the paper http://ceur-ws.org/Vol-1301/ontocomodise2014_2.pdf , FundingAgencyEntry
Q2.7b, Identify the funding agencies that funded the research presented in the paper http://ceur-ws.org/Vol-1184/ldow2014_paper_11.pdf , FundingAgencyEntry
Q2.7c, Identify the funding agencies that funded the research presented in the paper http://ceur-ws.org/Vol-1184/ldow2014_paper_02.pdf , FundingAgencyEntry
Q2.7d, Identify the funding agencies that funded the research presented in the paper http://ceur-ws.org/Vol-1116/paper7.pdf , FundingAgencyEntry
Q2.7e, Identify the funding agencies that funded the research presented in the paper http://ceur-ws.org/Vol-958/paper9.pdf , FundingAgencyEntry

Q2.8a, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1215/paper-03.pdf , ProjectEntry
Q2.8b, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1184/ldow2014_paper_05.pdf , ProjectEntry
Q2.8c, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1155/paper-01.pdf , ProjectEntry
Q2.8d, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1044/paper-06.pdf , ProjectEntry
Q2.8e, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-315/paper1.pdf , ProjectEntry

Q2.9a,  Identify the ontologies mentioned in the abstract of the paper http://ceur-ws.org/Vol-1188/paper_5.pdf , OntologyEntry
Q2.9b,  Identify the ontologies mentioned in the abstract of the paper http://ceur-ws.org/Vol-1188/paper_2.pdf , OntologyEntry
Q2.9c,  Identify the ontologies mentioned in the abstract of the paper http://ceur-ws.org/Vol-1116/paper8.pdf , OntologyEntry
Q2.9d,  Identify the ontologies mentioned in the abstract of the paper http://ceur-ws.org/Vol-665/TroncyEtAl_COLD2010.pdf , OntologyEntry
Q2.9e,  Identify the ontologies mentioned in the abstract of the paper http://ceur-ws.org/Vol-315/paper6.pdf , OntologyEntry

Q2.10a, Identify the ontologies introduced in the paper http://ceur-ws.org/Vol-1301/ontocomodise2014_7.pdf , OntologyEntry
Q2.10b, Identify the ontologies introduced in the paper http://ceur-ws.org/Vol-1184/ldow2014_paper_09.pdf , OntologyEntry
Q2.10c, Identify the ontologies introduced in the paper http://ceur-ws.org/Vol-1155/paper-05.pdf , OntologyEntry
Q2.10d, Identify the ontologies introduced in the paper http://ceur-ws.org/Vol-813/ldow2011-paper01.pdf , OntologyEntry
Q2.10e, Identify the ontologies introduced in the paper http://ceur-ws.org/Vol-315/paper6.pdf , OntologyEntry
