Q1.1, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1006/paper2.pdf, AffiliationEntry
Q1.32, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1755/160-168.pdf, AffiliationEntry
Q1.33, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1503/06_pap_rosa.pdf, AffiliationEntry
Q1.34, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1522/Liebel2015HuFaMo.pdf, AffiliationEntry
Q1.35, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1760/paper1.pdf, AffiliationEntry
Q1.36, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1760/paper6.pdf, AffiliationEntry
Q1.37, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1766/om2016_poster2.pdf, AffiliationEntry
Q1.38, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1766/om2016_poster4.pdf, AffiliationEntry
Q1.39, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1769/paper01.pdf, AffiliationEntry
Q1.40, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1769/paper09.pdf, AffiliationEntry
Q2.1, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1006/paper2.pdf, CountryEntry
Q2.2, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1313/paper_14.pdf, CountryEntry
Q2.3, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1531/paper8.pdf, CountryEntry
Q2.4, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1184/ldow2014_paper_02.pdf, CountryEntry
Q2.5, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1405/paper-02.pdf, CountryEntry
Q2.6, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1500/paper3.pdf, CountryEntry
Q2.7, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1315/paper15.pdf, CountryEntry
Q2.8, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1320/paper_25.pdf, CountryEntry
Q2.9, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1116/paper8.pdf, CountryEntry
Q2.10, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1123/paper4.pdf, CountryEntry
Q2.11, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1123/paper5.pdf, CountryEntry
Q2.12, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1746/paper-13.pdf, CountryEntry
Q2.13, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1522/Badreddin2015HuFaMo.pdf, CountryEntry
Q2.14, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1503/01_pap_batot.pdf, CountryEntry
Q2.15, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1324/paper_4.pdf, CountryEntry
Q2.16, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1324/paper_10.pdf, CountryEntry
Q2.17, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1771/paper3.pdf, CountryEntry
Q2.18, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1771/paper13.pdf, CountryEntry
Q2.19, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1758/paper3.pdf, CountryEntry
Q2.20, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1749/paper_008.pdf, CountryEntry
Q2.21, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1116/paper6.pdf, CountryEntry
Q2.22, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1116/paper7.pdf, CountryEntry
Q2.23, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1184/ldow2014_paper_05.pdf, CountryEntry
Q2.24, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1405/paper-06.pdf, CountryEntry
Q2.25, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1746/paper-11.pdf, CountryEntry
Q2.26, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1749/paper_006.pdf, CountryEntry
Q2.27, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1758/paper1.pdf, CountryEntry
Q2.28, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1751/AICS_2016_paper_12.pdf, CountryEntry
Q2.29, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1751/AICS_2016_paper_15.pdf, CountryEntry
Q2.30, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1751/AICS_2016_paper_30.pdf, CountryEntry
Q2.31, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1755/79-84.pdf, CountryEntry
Q2.32, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1755/160-168.pdf, CountryEntry
Q2.33, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1503/06_pap_rosa.pdf, CountryEntry
Q2.34, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1522/Liebel2015HuFaMo.pdf, CountryEntry
Q2.35, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1760/paper1.pdf, CountryEntry
Q2.36, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1760/paper6.pdf, CountryEntry
Q2.37, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1766/om2016_poster2.pdf, CountryEntry
Q2.38, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1766/om2016_poster4.pdf, CountryEntry
Q2.39, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1769/paper01.pdf, CountryEntry
Q2.40, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1769/paper09.pdf, CountryEntry
Q3.1, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1006/paper2.pdf, URLEntry
Q3.2, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1313/paper_14.pdf, URLEntry
Q3.3, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1531/paper8.pdf, URLEntry
Q3.4, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1184/ldow2014_paper_02.pdf, URLEntry
Q3.5, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1405/paper-02.pdf, URLEntry
Q3.6, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1500/paper3.pdf, URLEntry
Q3.7, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1315/paper15.pdf, URLEntry
Q3.8, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1320/paper_25.pdf, URLEntry
Q3.9, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1116/paper8.pdf, URLEntry
Q3.10, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1123/paper4.pdf, URLEntry
Q3.11, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1123/paper5.pdf, URLEntry
Q3.12, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1746/paper-13.pdf, URLEntry
Q3.13, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1522/Badreddin2015HuFaMo.pdf, URLEntry
Q3.14, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1503/01_pap_batot.pdf, URLEntry
Q3.15, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1324/paper_4.pdf, URLEntry
Q3.16, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1324/paper_10.pdf, URLEntry
Q3.17, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1771/paper3.pdf, URLEntry
Q3.18, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1771/paper13.pdf, URLEntry
Q3.19, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1758/paper3.pdf, URLEntry
Q3.20, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1749/paper_008.pdf, URLEntry
Q3.21, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1116/paper6.pdf, URLEntry
Q3.22, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1116/paper7.pdf, URLEntry
Q3.23, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1184/ldow2014_paper_05.pdf, URLEntry
Q3.24, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1405/paper-06.pdf, URLEntry
Q3.25, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1746/paper-11.pdf, URLEntry
Q3.26, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1749/paper_006.pdf, URLEntry
Q3.27, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1758/paper1.pdf, URLEntry
Q3.28, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1751/AICS_2016_paper_12.pdf, URLEntry
Q3.29, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1751/AICS_2016_paper_15.pdf, URLEntry
Q3.30, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1751/AICS_2016_paper_30.pdf, URLEntry
Q3.31, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1755/79-84.pdf, URLEntry
Q3.32, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1755/160-168.pdf, URLEntry
Q3.33, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1503/06_pap_rosa.pdf, URLEntry
Q3.34, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1522/Liebel2015HuFaMo.pdf, URLEntry
Q3.35, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1760/paper1.pdf, URLEntry
Q3.36, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1760/paper6.pdf, URLEntry
Q3.37, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1766/om2016_poster2.pdf, URLEntry
Q3.38, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1766/om2016_poster4.pdf, URLEntry
Q3.39, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1769/paper01.pdf, URLEntry
Q3.40, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1769/paper09.pdf, URLEntry
Q4.1, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1006/paper2.pdf, DocumentComponentEntry
Q4.2, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1313/paper_14.pdf, DocumentComponentEntry
Q4.3, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1531/paper8.pdf, DocumentComponentEntry
Q4.4, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1184/ldow2014_paper_02.pdf, DocumentComponentEntry
Q4.5, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1405/paper-02.pdf, DocumentComponentEntry
Q4.6, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1500/paper3.pdf, DocumentComponentEntry
Q4.7, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1315/paper15.pdf, DocumentComponentEntry
Q4.8, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1320/paper_25.pdf, DocumentComponentEntry
Q4.9, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1116/paper8.pdf, DocumentComponentEntry
Q4.10, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1123/paper4.pdf, DocumentComponentEntry
Q4.11, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1123/paper5.pdf, DocumentComponentEntry
Q4.12, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1746/paper-13.pdf, DocumentComponentEntry
Q4.13, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1522/Badreddin2015HuFaMo.pdf, DocumentComponentEntry
Q4.14, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1503/01_pap_batot.pdf, DocumentComponentEntry
Q4.15, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1324/paper_4.pdf, DocumentComponentEntry
Q4.16, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1324/paper_10.pdf, DocumentComponentEntry
Q4.17, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1771/paper3.pdf, DocumentComponentEntry
Q4.18, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1771/paper13.pdf, DocumentComponentEntry
Q4.19, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1758/paper3.pdf, DocumentComponentEntry
Q4.20, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1749/paper_008.pdf, DocumentComponentEntry
Q4.21, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1116/paper6.pdf, DocumentComponentEntry
Q4.22, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1116/paper7.pdf, DocumentComponentEntry
Q4.23, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1184/ldow2014_paper_05.pdf, DocumentComponentEntry
Q4.24, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1405/paper-06.pdf, DocumentComponentEntry
Q4.25, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1746/paper-11.pdf, DocumentComponentEntry
Q4.26, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1749/paper_006.pdf, DocumentComponentEntry
Q4.27, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1758/paper1.pdf, DocumentComponentEntry
Q4.28, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1751/AICS_2016_paper_12.pdf, DocumentComponentEntry
Q4.29, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1751/AICS_2016_paper_15.pdf, DocumentComponentEntry
Q4.30, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1751/AICS_2016_paper_30.pdf, DocumentComponentEntry
Q4.31, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1755/79-84.pdf, DocumentComponentEntry
Q4.32, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1755/160-168.pdf, DocumentComponentEntry
Q4.33, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1503/06_pap_rosa.pdf, DocumentComponentEntry
Q4.34, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1522/Liebel2015HuFaMo.pdf, DocumentComponentEntry
Q4.35, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1760/paper1.pdf, DocumentComponentEntry
Q4.36, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1760/paper6.pdf, DocumentComponentEntry
Q4.37, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1766/om2016_poster2.pdf, DocumentComponentEntry
Q4.38, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1766/om2016_poster4.pdf, DocumentComponentEntry
Q4.39, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1769/paper01.pdf, DocumentComponentEntry
Q4.40, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1769/paper09.pdf, DocumentComponentEntry
Q5.1, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1006/paper2.pdf, DocumentComponentEntry
Q5.2, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1313/paper_14.pdf, DocumentComponentEntry
Q5.3, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1531/paper8.pdf, DocumentComponentEntry
Q5.4, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1184/ldow2014_paper_02.pdf, DocumentComponentEntry
Q5.5, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1405/paper-02.pdf, DocumentComponentEntry
Q5.6, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1500/paper3.pdf, DocumentComponentEntry
Q5.7, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1315/paper15.pdf, DocumentComponentEntry
Q5.8, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1320/paper_25.pdf, DocumentComponentEntry
Q5.9, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1116/paper8.pdf, DocumentComponentEntry
Q5.10, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1123/paper4.pdf, DocumentComponentEntry
Q5.11, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1123/paper5.pdf, DocumentComponentEntry
Q5.12, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1746/paper-13.pdf, DocumentComponentEntry
Q5.13, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1522/Badreddin2015HuFaMo.pdf, DocumentComponentEntry
Q5.14, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1503/01_pap_batot.pdf, DocumentComponentEntry
Q5.15, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1324/paper_4.pdf, DocumentComponentEntry
Q5.16, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1324/paper_10.pdf, DocumentComponentEntry
Q5.17, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1771/paper3.pdf, DocumentComponentEntry
Q5.18, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1771/paper13.pdf, DocumentComponentEntry
Q5.19, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1758/paper3.pdf, DocumentComponentEntry
Q5.20, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1749/paper_008.pdf, DocumentComponentEntry
Q5.21, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1116/paper6.pdf, DocumentComponentEntry
Q5.22, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1116/paper7.pdf, DocumentComponentEntry
Q5.23, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1184/ldow2014_paper_05.pdf, DocumentComponentEntry
Q5.24, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1405/paper-06.pdf, DocumentComponentEntry
Q5.25, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1746/paper-11.pdf, DocumentComponentEntry
Q5.26, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1749/paper_006.pdf, DocumentComponentEntry
Q5.27, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1758/paper1.pdf, DocumentComponentEntry
Q5.28, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1751/AICS_2016_paper_12.pdf, DocumentComponentEntry
Q5.29, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1751/AICS_2016_paper_15.pdf, DocumentComponentEntry
Q5.30, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1751/AICS_2016_paper_30.pdf, DocumentComponentEntry
Q5.31, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1755/79-84.pdf, DocumentComponentEntry
Q5.32, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1755/160-168.pdf, DocumentComponentEntry
Q5.33, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1503/06_pap_rosa.pdf, DocumentComponentEntry
Q5.34, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1522/Liebel2015HuFaMo.pdf, DocumentComponentEntry
Q5.35, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1760/paper1.pdf, DocumentComponentEntry
Q5.36, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1760/paper6.pdf, DocumentComponentEntry
Q5.37, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1766/om2016_poster2.pdf, DocumentComponentEntry
Q5.38, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1766/om2016_poster4.pdf, DocumentComponentEntry
Q5.39, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1769/paper01.pdf, DocumentComponentEntry
Q5.40, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1769/paper09.pdf, DocumentComponentEntry
Q6.1, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1006/paper2.pdf, DocumentComponentEntry
Q6.2, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1313/paper_14.pdf, DocumentComponentEntry
Q6.3, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1531/paper8.pdf, DocumentComponentEntry
Q6.4, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1184/ldow2014_paper_02.pdf, DocumentComponentEntry
Q6.5, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1405/paper-02.pdf, DocumentComponentEntry
Q6.6, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1500/paper3.pdf, DocumentComponentEntry
Q6.7, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1315/paper15.pdf, DocumentComponentEntry
Q6.8, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1320/paper_25.pdf, DocumentComponentEntry
Q6.9, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1116/paper8.pdf, DocumentComponentEntry
Q6.10, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1123/paper4.pdf, DocumentComponentEntry
Q6.11, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1123/paper5.pdf, DocumentComponentEntry
Q6.12, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1746/paper-13.pdf, DocumentComponentEntry
Q6.13, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1522/Badreddin2015HuFaMo.pdf, DocumentComponentEntry
Q6.14, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1503/01_pap_batot.pdf, DocumentComponentEntry
Q6.15, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1324/paper_4.pdf, DocumentComponentEntry
Q6.16, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1324/paper_10.pdf, DocumentComponentEntry
Q6.17, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1771/paper3.pdf, DocumentComponentEntry
Q6.18, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1771/paper13.pdf, DocumentComponentEntry
Q6.19, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1758/paper3.pdf, DocumentComponentEntry
Q6.20, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1749/paper_008.pdf, DocumentComponentEntry
Q6.21, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1116/paper6.pdf, DocumentComponentEntry
Q6.22, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1116/paper7.pdf, DocumentComponentEntry
Q6.23, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1184/ldow2014_paper_05.pdf, DocumentComponentEntry
Q6.24, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1405/paper-06.pdf, DocumentComponentEntry
Q6.25, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1746/paper-11.pdf, DocumentComponentEntry
Q6.26, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1749/paper_006.pdf, DocumentComponentEntry
Q6.27, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1758/paper1.pdf, DocumentComponentEntry
Q6.28, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1751/AICS_2016_paper_12.pdf, DocumentComponentEntry
Q6.29, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1751/AICS_2016_paper_15.pdf, DocumentComponentEntry
Q6.30, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1751/AICS_2016_paper_30.pdf, DocumentComponentEntry
Q6.31, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1755/79-84.pdf, DocumentComponentEntry
Q6.32, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1755/160-168.pdf, DocumentComponentEntry
Q6.33, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1503/06_pap_rosa.pdf, DocumentComponentEntry
Q6.34, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1522/Liebel2015HuFaMo.pdf, DocumentComponentEntry
Q6.35, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1760/paper1.pdf, DocumentComponentEntry
Q6.36, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1760/paper6.pdf, DocumentComponentEntry
Q6.37, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1766/om2016_poster2.pdf, DocumentComponentEntry
